name,path_name,theatre_code,address,city,state,postal_code,latitude,longitude,phone_number,pwp_availability,iana_timezone,value_day_text,unlimited_tier
Regal Aviation Mall,regal-aviation-mall-1731,1731,578 Aviation Rd,Queensbury,NY,12804,43.3281,-73.6802,(844) 462-7342,False,US/Eastern,$6.50 every Tuesday,3
Regal Fossil Creek,regal-fossil-creek-1317,1317,N. 6100 Freeway,Ft Worth,TX,76137,32.8532,-97.3123,(844) 462-7342,True,US/Central,$5.00 every Tuesday,1
Regal The Landing,regal-the-landing-1935,1935,900 N 10th Place,Renton,WA,98057,47.4982,-122.2042,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,2
Regal Warren Midwest City,regal-midwest-city-1482,1482,5905 SE 15th Street,Midwest City,OK,73110,35.45315,-97.4182,(844) 462-7342,True,US/Central,$5.50 every Tuesday,2
Regal North Hollywood,regal-north-hollywood-1438,1438,"6150 Laurel Canyon Blvd., #200",North Hollywood,CA,91606,34.18134,-118.39414,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,2
Regal UA Washington Township,regal-ua-washington-township-1281,1281,121 Tuckahoe Road,Sewell,NJ,08080,39.7224,-75.0309,(844) 462-7342,False,US/Eastern,$6.50 every Tuesday,2
Regal Santa Rosa,regal-santa-rosa-1195,1195,300 Mary Esther Blvd.,Mary Esther,FL,32569,30.4145,-86.6541,(844) 462-7342,True,US/Central,$5.50 every Tuesday,1
Regal Hunt Valley,regal-hunt-valley-1711,1711,11511 McCormick Rd,Hunt Valley,MD,21030,39.4994,-76.6562,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal San Jacinto Metro,regal-san-jacinto-metro-1804,1804,1599 San Jacinto Ave,San Jacinto,CA,92583,33.7723,-116.9566,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,2
Regal UA Cottonwood,regal-ua-cottonwood-1307,1307,10000 NW Coors Blvd.,Albuquerque,NM,87114,35.1925,-106.6554,(844) 462-7342,True,US/Mountain,$6.00 every Tuesday,2
Regal UA Main Street,regal-ua-main-street-theatre-1314,1314,3720-40 Main Street,Manayunk,PA,19127,40.0153,-75.2097,(844) 462-7342,False,US/Eastern,$6.50 every Tuesday,2
Regal Winter Park Village,regal-winter-park-village-0721,0721,510 North Orlando Ave,Winter Park,FL,32789,28.603,-81.365,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal Champlain Centre,regal-champlain-centre-1734,1734,"60 Smithfield Blvd, Suite 90",Plattsburgh,NY,12901,44.7023,-73.4951,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal Salmon Run,regal-salmon-run-1946,1946,21182 Salmon Run Mall Loop W,Watertown,NY,13601,43.9756,-75.9005,(844) 462-7342,True,US/Eastern,$7.00 every Tuesday,2
Regal Escondido,regal-escondido-1805,1805,350 W Valley Parkway,Escondido,CA,92025,33.121,-117.086,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,3
Regal Westchester Commons,regal-westchester-commons-1936,1936,361 Perimeter Drive,Midlothian,VA,23114,37.5117,-77.697,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,2
Regal San Bernardino,regal-san-bernardino-1799,1799,450 N. E Street,San Bernardino,CA,92401,34.1083,-117.2942,(844) 462-7342,True,US/Pacific,$6.00 every Tuesday,1
Regal New River Valley,regal-new-river-valley-0671,0671,110 New River Road,Christianburg,VA,24073,37.1653,-80.4244,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,2
Regal UA Commerce Township,regal-ua-commerce-township-1294,1294,3033 Springvale Drive,Walled Lake,MI,48390,42.527,-83.4374,(844) 462-7342,True,US/Eastern,$5.00 every Tuesday,1
Regal Greenwood,regal-greenwood-1794,1794,461 Greenwood Park South Drive,Greenwood,IN,46142,39.6311,-86.1066,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,1
Regal City North,regal-city-north-1789,1789,2600 N. Western Avenue,Chicago,IL,60647,41.9287,-87.688,(844) 462-7342,True,US/Central,$6.50 every Tuesday,2
Regal Plymouth Meeting,regal-plymouth-meeting-0234,0234,1011 Ridge Pike,Conshohocken,PA,19428,40.0994,-75.3061,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,2
Regal UA Farmingdale,regal-ua-farmingdale-1319,1319,20 Michael Avenue,Farmingdale,NY,11735,40.7258,-73.4246,(844) 462-7342,False,US/Eastern,$7.50 every Tuesday,3
Regal Citrus Cinemas,regal-citrus-cinemas-0206,0206,2635 E. Gulf to Lake Highway,Inverness,FL,34453,28.8553,-82.3978,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,1
Regal Cinebarre Movieland,regal-cinebarre-movieland-1959,1959,501 Marion Street N.E.,Salem,OR,97301,44.9586,-123.0026,(844) 462-7342,True,US/Pacific,$6.00 every Tuesday,2
Regal Yorba Linda,regal-yorba-linda-1430,1430,4870 Valencia Ave.,Yorba Linda,CA,92886,33.8904,-117.81191,(844) 462-7342,False,US/Pacific,$5.50 every Tuesday,2
Regal Cinebarre Palace Station,regal-cinebarre-palace-station-1463,1463,2411 W. Sahara Ave,Las Vegas,NV,89102,36.1442,-115.17414,(844) 462-7342,True,US/Pacific,$7.00 every Tuesday,1
Regal Cascade,regal-cascade-0845,0845,1101 SE 160th Avenue,Vancouver,WA,98683,45.6127,-122.5077,(844) 462-7342,True,US/Pacific,$5.00 every Tuesday,2
Regal Sherman Oaks Galleria,regal-sherman-oaks-galleria-1483,1483,"15301 Ventura Blvd. Bldg A, 3rd Floor, Suite 300",Sherman Oaks,CA,91403,34.15644,-118.46705,(844) 462-7342,True,US/Pacific,$7.00 every Tuesday,3
Regal Tikahtnu,regal-tikahtnu-1994,1994,1102 North Muldoon Rd Suite B,Anchorage,AK,99504,61.2045,-149.7485,(844) 462-7342,True,US/Alaska,$6.50 every Tuesday,2
Regal LA Live,regal-la-live-1484,1484,1000 W Olympic Boulevard,Los Angeles,CA,90015,34.0461,-118.267,(844) 462-7342,True,US/Pacific,$7.00 every Tuesday,3
Regal Kapolei Commons,regal-kapolei-commons-1951,1951,4450 Kapolei Parkway Suite 500,Kapolei,HI,96707,21.3305,-158.09419,(844) 462-7342,True,US/Hawaii,$6.50 every Tuesday,2
Regal Jack London,regal-jack-london-1808,1808,100 Washington Street,Oakland,CA,94607,37.7963,-122.2773,(844) 462-7342,True,US/Pacific,$5.50 every Sunday & Tuesday,2
Regal Galleria Mall,regal-galleria-mall-1740,1740,2001 South Road,Poughkeepsie,NY,12601,41.6268,-73.9194,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,3
Regal Streets of Indian Lake,regal-streets-of-indian-lake-1926,1926,"300 Indian Lake Blvd, Blding T",Hendersonville,TN,37075,36.3297,-86.5905,(844) 462-7342,True,US/Central,$6.00 every Tuesday,1
Regal Manassas,regal-manassas-1751,1751,11380 Bulloch Dr,Manassas,VA,20109,38.8026,-77.5305,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal Virginia Gateway,regal-virginia-gateway-1675,1675,8001 Gateway Promenade Place,Gainesville,VA,20155,38.7891,-77.6068,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal Stonefield,regal-stonefield-1969,1969,1954 Swanson Drive,Charlottesville,VA,22901,38.0656,-78.4932,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,3
Regal Marketplace @ El Paseo,regal-marketplace-at-el-paseo-1433,1433,6455 N. Riverside Drive,Fresno,CA,93722,36.83414,-119.91108,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,2
Regal Dania Pointe,regal-dania-pointe-1474,1474,128 Sunset Drive,Dania Beach,FL,33004,26.0536,-80.16119,(844) 462-7342,True,US/Eastern,$7.50 every Tuesday,2
Regal UA Galaxy - Dallas,regal-ua-galaxy-theatre-dallas-1306,1306,11801 Mccree Road,Dallas,TX,75238,32.8726,-96.687,(844) 462-7342,True,US/Central,$6.50 every Tuesday,1
Regal Mission Marketplace,regal-mission-marketplace-1470,1470,431 College Boulevard,Oceanside,CA,92057,33.24514,-117.29396,(844) 462-7342,True,US/Pacific,$6.00 every Tuesday,1
Regal The Loop,regal-the-loop-0687,0687,3232 N. John Young Parkway,Kissimmee,FL,34741,28.3438,-81.4246,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,2
Regal UA Galaxy - Indianapolis,regal-ua-galaxy-indianapolis-1299,1299,8105 E. 96Th Street,Indianapolis,IN,46256,39.925,-86.0261,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,1
Regal Stonestown Galleria,regal-stonestown-galleria-1464,1464,3251 20th Avenue,San Francisco,CA,94132,37.72817,-122.47755,(844) 462-7342,True,US/Pacific,$7.50 every Tuesday,3
Regal Winrock,regal-winrock-1992,1992,"2100 Louisina Blvd NE, Bld 400",Albuquerque,NM,87110,35.0977,-106.5665,(844) 462-7342,True,US/Mountain,$6.25 every Tuesday,1
Regal Pointe Orlando,regal-pointe-orlando-1938,1938,"9101 International Dr, St 2100",Orlando,FL,32819,28.4313,-81.4717,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,2
Regal West Tower,regal-west-tower-cinemas-1226,1226,8998 West Broad Street,Richmond,VA,23294,37.6345,-77.546,(844) 462-7342,False,US/Eastern,$6.50 every Tuesday,2
Regal UA Oxford Valley,regal-ua-oxford-valley-1269,1269,403 Middletown Blvd,Langhorne,PA,19047,40.186,-74.8779,(844) 462-7342,False,US/Eastern,$5.00 every Tuesday,2
Regal Solomon Pond,regal-solomon-pond-1721,1721,591 Donald J Lynch Blvd,Marlborough,MA,01752,42.353,-71.6145,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,3
Regal Thornton Place,regal-thornton-place-1937,1937,316 NE Thornton Place,Seattle,WA,98125,47.7031,-122.3256,(844) 462-7342,True,US/Pacific,$7.00 every Tuesday,2
Regal Heartland,regal-heartland-1643,1643,300 Early Blvd,Early,TX,76801,31.7343,-98.9648,(844) 462-7342,True,US/Central,$5.50 every Tuesday,1
Regal Treasure Coast Mall,regal-treasure-coast-mall-0731,0731,3290 North West Federal Highwy,Jensen Beach,FL,34957,27.2434,-80.2687,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,1
Regal River Point,regal-river-point-1943,1943,3565 South Platte River Drive,Sheridan,CO,80110,39.6529,-105.0084,(844) 462-7342,True,US/Mountain,$7.00 every Tuesday,2
Regal Strawbridge Marketplace,regal-strawbridge-marketplace-0235,0235,2133 General Booth Blvd.,Virginia Beach,VA,23454,36.7642,-76.0156,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,2
Regal Issaquah Highlands,regal-issaquah-highlands-1942,1942,940 NE Park Drive,Issaquah,WA,98029,47.5559,-122.0015,(844) 462-7342,True,US/Pacific,$7.00 every Tuesday,2
Regal Essex Crossing,regal-essex-crossing-1412,1412,129 Delancey Street,New York,NY,10002,40.71823,-73.98812,(844) 462-7342,False,US/Eastern,$8.00 every Tuesday,3
Regal Hazleton,regal-hazleton-1749,1749,400 Laurel Mall,Hazleton,PA,18202,40.982,-76.0257,(844) 462-7342,False,US/Eastern,$7.00 every Tuesday,1
Regal Santa Fe Place,regal-santa-fe-place-1465,1465,4250 Cerrillos Rd,Santa Fe,NM,87507,35.63558,-106.01381,(844) 462-7342,False,US/Mountain,$7.00 every Tuesday,2
Regal Coldwater Crossing,regal-coldwater-crossing-0169,0169,211 West Washington Center Rd,Fort Wayne,IN,46825,41.1325,-85.1415,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,1
Regal Benders Landing,regal-benders-landing-screenx-1469,1469,4495 Riley Fuzzel Road,Spring,TX,77386,30.12143,-95.37575,(844) 462-7342,True,US/Central,$5.50 every Tuesday,1
Regal Bricktown Charleston,regal-bricktown-charleston-1419,1419,165 Bricktown Way,Staten Island,NY,10309,40.5303,-74.23027,(844) 462-7342,True,US/Eastern,$7.00 every Tuesday,3
Regal Marysville,regal-marysville-0298,0298,9811 State Avenue,Marysville,WA,98270,48.0843,-122.1713,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,2
Regal River Ridge,regal-river-ridge-1995,1995,3411 Candlers Mountain Road,Lynchburg,VA,24502,37.3674,-79.1747,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal Key West,regal-key-west-0412,0412,3338 N. Roosevelt Blvd.,Key West,FL,33040,24.56998,-81.76304,(844) 462-7342,False,US/Eastern,$7.00 every Tuesday,3
Regal Arroyo Grande,regal-arroyo-grande-1812,1812,1160 W Branch Street,Arroyo Grande,CA,93420,35.1284,-120.5989,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,2
Regal Fishkill,regal-fishkill-1739,1739,18 Westage Business Center,Fishkill,NY,12524,41.5393,-73.9008,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal Hamburg Pavilion,regal-hamburg-pavilion-0728,0728,1949 Starshoot Road,Lexington,KY,40509,38.021,-84.419,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,1
Regal Cinebarre Mountlake,regal-cinebarre-mountlake-1958,1958,24220 Van Ry Blvd,Mountlake Terrace,WA,98043,47.7922,-122.3072,(844) 462-7342,True,US/Pacific,$7.00 every Tuesday,2
Regal UA Grant Plaza,regal-ua-grant-plaza-1290,1290,1619 Grant Avenue,Philadelphia,PA,19115,40.0855,-75.0388,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal UA La Canada,regal-ua-la-canada-1270,1270,1919 Verdugo Blvd,La Canada,CA,91011,34.2056,-118.2145,(844) 462-7342,False,US/Pacific,$7.00 every Tuesday,3
Regal Columbus,regal-columbus-0718,0718,104 Constitution Drive,Virginia Beach,VA,23462,36.8401,-76.1314,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,1
Regal Cielo Vista,regal-cielo-vista-0765,0765,2828 Cinema Ridge,San Antonio,TX,78238,29.4675,-98.6154,(844) 462-7342,True,US/Central,$5.00 every Tuesday,1
Regal Vancouver Plaza,regal-vancouver-plaza-0843,0843,7800  N.E. Fourth Plain,Vancouver,WA,98662,45.6488,-122.5956,(844) 462-7342,True,US/Pacific,$5.00 every Tuesday,2
Regal Promenade,regal-promenade-0748,0748,"550 Deep Valley Dr, Suite 336",Rolling Hills Est,CA,90274,33.7709,-118.3717,(844) 462-7342,False,US/Pacific,$6.00 every Tuesday,3
Regal Cobblestone Square,regal-cobblestone-square-0755,0755,5500 Cobblestone Road,Elyria,OH,44035,41.4191,-82.0827,(844) 462-7342,True,US/Eastern,$5.50 every Tuesday,1
Regal Tangram,regal-tangram-4dx-1472,1472,133-36 37th Avenue,Flushing,NY,11354,40.76047,-73.83369,(844) 462-7342,False,US/Eastern,$7.00 every Tuesday,3
Regal Sunset Station,regal-sunset-station-0838,0838,1301-A W Sunset Road,Henderson,NV,89014,36.0636,-115.0426,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,2
Regal Oceanside,regal-oceanside-0708,0708,401 Mission Ave.,Oceanside,CA,92054,33.195,-117.3798,(844) 462-7342,True,US/Pacific,$6.00 every Tuesday,3
Regal Lloyd Center,regal-lloyd-center-0807,0807,1510 NE Multnomah Street,Portland,OR,97232,45.5309,-122.6512,(844) 462-7342,False,US/Pacific,$6.00 every Tuesday,2
Regal Huebner Oaks,regal-huebner-oaks-0581,0581,11075 W Interstate 10  Ste 1H,San Antonio,TX,78230,29.5487,-98.5849,(844) 462-7342,True,US/Central,$5.00 every Tuesday,1
Regal Cypress Creek Station,regal-cypress-creek-station-0529,0529,6415 N. Andrews Avenue,Ft Lauderdale,FL,33309,26.2055,-80.1473,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,2
Regal Hollywood - Greenville,regal-hollywood-greenville-0488,0488,1029 Woodruff Road,Greenville,SC,29607,34.8336,-82.3049,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal McCain Mall,regal-mccain-mall-0541,0541,3929 McCain Boulevard,North Little Rock,AR,72116,34.793,-92.2267,(844) 462-7342,True,US/Central,$5.50 every Tuesday,1
Regal Three Rivers Mall,regal-three-rivers-mall-0599,0599,341 Three Rivers Drive,Kelso,WA,98626,46.1386,-122.9001,(844) 462-7342,True,US/Pacific,$5.50 every Tuesday,2
Regal Eastview Mall,regal-eastview-mall-0501,0501,70 Eastview Mall Drive,Victor,NY,14564,43.0296,-77.4395,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal Naples,regal-naples-0465,0465,6006 Hollywood Drive,Naples,FL,34109,26.2201,-81.7713,(844) 462-7342,True,US/Eastern,$7.00 every Tuesday,3
Regal Goldstream,regal-goldstream-0601,0601,1855 Airport Way,Fairbanks,AK,99701,64.8369,-147.7578,(844) 462-7342,True,US/Alaska,$6.50 every Tuesday,3
Regal Sawgrass,regal-sawgrass-0442,0442,2600  Northwest 136th Avenue,Sunrise,FL,33323,26.1569,-80.3214,(844) 462-7342,True,US/Eastern,$5.00 every Tuesday,1
Regal Lone Star,regal-lone-star-1441,1441,24720 Tomball Parkway,Tomball,TX,77375,30.0415,-95.6052,(844) 462-7342,True,US/Central,$5.50 every Tuesday,1
Regal Carrollton,regal-carrollton-1420,1420,1135 Bankhead Highway,Carrollton,GA,30116,33.5933,-85.038,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,1
Regal Largo Mall,regal-largo-mall-0446,0446,"10500 Ulmerton Road East, #500",Largo,FL,33771,27.8946,-82.7845,(844) 462-7342,True,US/Eastern,$5.00 every Tuesday,1
Regal Warren West,regal-warren-west-1443,1443,9150 W 21st St.,Wichita,KS,67205,37.7242,-97.4478,(844) 462-7342,True,US/Central,$5.00 every Tuesday,1
Regal Dawson,regal-dawson-1422,1422,189 North 400 Center Lane,Dawsonville,GA,30534,34.3689,-84.0356,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,1
Regal Warren East,regal-warren-east-1444,1444,11611 E. 13th St.,Wichita,KS,67206,37.7057,-97.2026,(844) 462-7342,True,US/Central,$5.00 every Tuesday,1
Regal Atlantic Station,regal-atlantic-station-1346,1346,"261 19th Street NW, Suite 1250",Atlanta,GA,30363,33.7938,-84.396,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal Janss Marketplace,regal-janss-marketplace-1418,1418,255 North Moorpark Road,Thousand Oaks,CA,91360,34.1828,-118.8792,(844) 462-7342,False,US/Pacific,$6.50 every Tuesday,2
Regal Cherokee,regal-cherokee-1423,1423,355 Cinema View,Woodstock,GA,30189,34.1076,-84.543,(844) 462-7342,True,US/Eastern,$6.00 every Tuesday,1
Regal Independence Plaza,regal-independence-plaza-1417,1417,2465 South Broad Street,Hamilton,NJ,08610,40.192,-74.7218,(844) 462-7342,True,US/Eastern,$7.00 every Tuesday,1
Regal Davis Holiday,regal-davis-holiday-1814,1814,101 F Street,Davis,CA,95616,38.5424,-121.74,(844) 462-7342,True,US/Pacific,$6.00 every Tuesday,2
Regal Delta Shores,regal-delta-shores-1413,1413,8136 Delta Shores Circle,Sacramento,CA,95832,38.4652,-121.4939,(844) 462-7342,True,US/Pacific,$6.50 every Tuesday,2
Regal Brandywine Town Center,regal-brandywine-town-center-0509,0509,3300 Brandywine Parkway,Wilmington,DE,19803,39.8325,-75.5361,(844) 462-7342,True,US/Eastern,$7.00 every Tuesday,2
Regal Simpsonville,regal-simpsonville-1517,1517,780 South Street,Simpsonville,SC,29681,34.7213,-82.2551,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,2
Regal Dickson City,regal-dickson-city-1515,1515,3909 Commerce Boulevard,Dickson City,PA,18519,41.4599,-75.6464,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,1
Regal Sandhill,regal-sandhill-1855,1855,450 Town Center Place,Columbia,SC,29229,34.1118,-80.8577,(844) 462-7342,True,US/Eastern,$6.50 every Tuesday,1
Regal Edwards Temecula,regal-edwards-temecula-1045,1045,40750 Winchester Road,Temecula,CA,92591,33.5251,-117.1521,(844) 462-7342,True,US/Pacific,$6.00 every Tuesday,2
Regal UA Westbrook,regal-ua-westbrook-1204,1204,454 Brookway Blvd.,Brookhaven,MS,39601,31.5801,-90.4496,(844) 462-7342,False,US/Central,$5.50 every Tuesday,1
